dataset,avg_tokens_per_row,avg_bytes_per_token,avg_normalized_seq_len
arc-challenge-bn,345.64078498293514,4.338327591306215,0.5011651164117332
arc-challenge-en,124.62372013651877,4.692672567569982,1.0033599114642178
arc-easy-bn,320.5938552188552,4.334999398092078,0.5011982155366866
arc-easy-en,114.8219696969697,4.705580175091202,1.0009032097658395
boolq-bn,565.0155963302752,4.347657380594658,0.5074015718887575
boolq-en,202.4645259938838,4.660478771923418,1.0316663337516574
commonsenseqa-bn,294.8853398853399,4.238903480897005,0.5103340071307462
commonsenseqa-en,106.44307944307944,4.447312247357228,1.0053573196928065
gsm8k-main-bn,479.289613343442,4.2703003250757385,0.5078550067216275
gsm8k-main-en,178.00758150113722,4.573700101753941,1.0491729403157646
hellaswag-bn,689.1713485954214,4.332061286498172,0.5066845857186163
hellaswag-en,258.7113865840248,4.539740977047609,1.0112817701530508
mmlu-bn,448.6784194967193,4.359689219642935,0.5007148894868286
mmlu-en,167.02689451294253,4.644835943468577,1.0126976562985348
openbookqa-bn,274.194,4.328085648496579,0.4994746872776817
openbookqa-en,99.254,4.594142096439203,1.0047034780106392
piqa-bn,332.4046692607004,4.419002971282671,0.4967404147083397
piqa-en,116.73476005188067,4.75152819942366,1.0143065335070243
winogrande-bn,258.49179400113184,4.447780657318567,0.4950100651777106
winogrande-en,87.3010752688172,4.96120799598427,1.0039060797374852
