dataset,avg_tokens_per_word,avg_bytes_per_token,avg_normalized_seq_len
arc-challenge-bn,3.8124766314666276,4.338327591306215,0.5011651164117332
arc-challenge-en,1.3118874142740564,4.692672567569982,1.0033599114642178
arc-easy-bn,3.830397947317918,4.334999398092078,0.5011982155366866
arc-easy-en,1.3202139365522003,4.705580175091202,1.0009032097658395
boolq-bn,4.1338599288199065,4.347657380594658,0.5074015718887575
boolq-en,1.362900929859369,4.660478771923418,1.0316663337516574
commonsenseqa-bn,3.7869733710337234,4.238903480897005,0.5103340071307462
commonsenseqa-en,1.3846872632316791,4.447312247357228,1.0053573196928065
gsm8k-main-bn,3.9399013854389837,4.2703003250757385,0.5078550067216275
gsm8k-main-en,1.4250163655213184,4.573700101753941,1.0491729403157646
hellaswag-bn,3.735576717413382,4.332061286498172,0.5066845857186163
hellaswag-en,1.2778203091992237,4.539740977047609,1.0112817701530508
mmlu-bn,3.8597647690221324,4.359689219642935,0.5007148894868286
mmlu-en,1.3523656452755946,4.644835943468577,1.0126976562985348
openbookqa-bn,3.753590386353025,4.328085648496579,0.4994746872776817
openbookqa-en,1.3365386813901403,4.594142096439203,1.0047034780106392
piqa-bn,3.7747644742422484,4.419002971282671,0.4967404147083397
piqa-en,1.2767463419974736,4.75152819942366,1.0143065335070243
winogrande-bn,3.789812066350748,4.447780657318567,0.4950100651777106
winogrande-en,1.2615439357838094,4.96120799598427,1.0039060797374852
