dataset,avg_tokens_per_row,avg_bytes_per_token,avg_normalized_seq_len
arc-challenge-bn,602.6373720136519,2.49041256490061,0.8726693206510496
arc-challenge-en,123.57935153583618,4.732854760017065,0.994802261658134
arc-easy-bn,558.2622053872054,2.4911327095448854,0.8719646261191714
arc-easy-en,113.868265993266,4.7452219323509235,0.9924124272799231
boolq-bn,976.0009174311926,2.5212562077793685,0.8746610383725253
boolq-en,199.42446483180427,4.735344820786077,1.0152498515448023
commonsenseqa-bn,504.81081081081084,2.4762747150321736,0.8734950747849491
commonsenseqa-en,104.8943488943489,4.512958660628703,0.9906690850205765
gsm8k-main-bn,833.7323730098559,2.4551794822677073,0.8832354953168114
gsm8k-main-en,175.03108415466264,4.651396092835527,1.0315757218527073
hellaswag-bn,1195.1995401379586,2.4958376835200156,0.8792645173017115
hellaswag-en,255.22473258022592,4.601700205291793,0.9975490236493425
mmlu-bn,788.1617275939145,2.4919296306445906,0.8751498692028364
mmlu-en,165.39238589660394,4.688179564611837,1.0032792259051184
openbookqa-bn,476.952,2.4888912918816373,0.8684435060507205
openbookqa-en,97.854,4.660076033120553,0.9904210740239948
piqa-bn,585.7263294422828,2.5084675513376364,0.8748212535036305
piqa-en,114.07814526588845,4.85631500372787,0.9921109667564142
winogrande-bn,455.4974533106961,2.5239520050128896,0.8722202305379627
winogrande-en,85.96717600452745,5.037823519685927,0.9885702030017275
