dataset,avg_tokens_per_row,avg_bytes_per_token,avg_normalized_seq_len
arc-challenge-bn,603.6373720136519,2.486135987749404,0.8741705439894154
arc-challenge-en,124.57935153583618,4.693615930454823,1.0031189359509467
arc-easy-bn,559.2622053872054,2.486538903245868,0.8735754227521133
arc-easy-en,114.868265993266,4.7028160636239384,1.0013696323703996
boolq-bn,977.0009174311926,2.5184095395624775,0.8756474731116191
boolq-en,200.42446483180427,4.708834143319764,1.0209069705611682
commonsenseqa-bn,505.81081081081084,2.471356937410436,0.8752331604886294
commonsenseqa-en,105.8943488943489,4.47017069145515,1.000149186519968
gsm8k-main-bn,834.7323730098559,2.4522001693038202,0.88430855942886
gsm8k-main-en,176.03108415466264,4.624546955538158,1.0375571788433213
hellaswag-bn,1196.1995401379586,2.493549958805415,0.8800714962630519
hellaswag-en,256.2247325802259,4.581753036015297,1.00186728591643
mmlu-bn,789.1617275939145,2.4881140554612458,0.8764927986585852
mmlu-en,166.39238589660394,4.6544022243030465,1.0105660928429434
openbookqa-bn,477.952,2.4836093708368696,0.8702902169155479
openbookqa-en,98.854,4.6123594128729914,1.0006685384044565
piqa-bn,586.7263294422828,2.5038195853397047,0.8764411297610758
piqa-en,115.07814526588845,4.809276219376783,1.0017292451097988
winogrande-bn,456.4974533106961,2.518408028207837,0.8741401918323526
winogrande-en,86.96717600452745,4.979743201881736,1.0000934334390383
